user_id,Unable to Turn to Friends or Family,Illness,Food Insecurity,Energy Insecurity,Income,Worry About Energy Payment,Distance to Railway Access,Population Density,Uses Foodbank,Distance to Greenspace,Living Environment Score,Distance to Bus Stop,Distance to Underground Access,Worry About Housing Payment,IMD Score,Unemployed,Age,Not Working Sick or Disabled,Living On my Own With Children Under 18,Gender,Not Working (Looking After Child or House),new_loneliness_binary
929221,0,0,2,0,4,0,371.5711829,8676.588652,0,153.307735,35.964,259.7363759,865.365296,1,21.837,0,2,0,0,1,0,0
934932,1,0,1,1,2,0,940.7726274,11647.56237,0,273.374015,25.296,137.1170576,991.6159282,1,20.236,0,1,0,0,0,0,0
969199,1,0,2,0,4,0,211.1689024,11747.95284,0,536.064978,34.242,111.2494302,267.2856988,1,17.721,0,2,0,0,1,0,0
44147,1,0,0,0,4,0,538.9852459,5572.392265,0,230.628113,30.821,51.40204993,3548.666026,0,12.483,0,1,0,0,0,0,0
974882,0,0,1,0,3,1,914.623183,20127.95085,0,29.5338187,37.02,10.90641614,76.64365167,1,43.654,0,1,0,0,0,0,0
987882,0,0,0,1,3,1,984.9010214,19180.45933,0,90.0435975,26.515,377.7311605,256.3375166,0,3.915,0,1,0,0,0,0,0
988477,1,0,3,2,0,1,1688.363172,8426.607081,1,62.8620481,16.37,181.9270483,2411.046844,1,25.032,0,1,0,0,0,0,1
59265,1,0,0,0,0,1,525.4142362,9332.258387,0,390.34988,49.992,107.5149019,1612.394324,1,12.511,0,1,0,0,0,0,1
1008723,1,0,2,1,0,1,1167.897441,15802.25952,0,214.575271,36.365,181.8202077,1137.87567,1,33.319,0,2,0,0,0,0,1
2309853,1,1,0,1,3,0,810.9620984,3611.155799,0,218.107747,31.647,187.2951292,6489.929782,0,28.889,0,3,0,0,0,0,0
1022877,0,0,1,0,3,1,1149.926789,2682.366411,0,302.295832,19.057,140.8601307,1995.139439,1,17.988,0,2,0,1,0,0,0
2329510,1,0,3,2,2,0,788.7858392,14031.35548,0,479.790853,35.903,33.19175572,448.9619538,1,44.248,1,2,0,0,1,0,0
2324,1,0,0,0,0,0,811.3071886,5229.977457,0,400.00804,33.354,221.2970756,7199.064313,0,21.859,0,3,0,0,0,0,0
2340213,0,0,0,0,4,1,1160.687592,6286.731249,0,494.949136,17.908,214.6168107,2024.661783,0,20.973,0,3,0,0,0,0,0
48731,1,1,0,1,1,0,333.4605193,14970.86127,0,237.968673,22.962,72.58713886,529.2329054,1,26.077,0,4,0,0,0,0,1
2340976,2,0,0,0,0,0,509.4557854,8023.109657,0,412.960407,27.375,128.8657277,896.6753193,0,8.595,0,4,0,0,0,0,0
1075782,2,0,1,2,3,1,469.1810705,12100.34106,0,991.82034,46.48,77.39289201,703.3132159,0,32.007,0,2,0,0,0,0,1
1082885,1,0,3,2,1,1,2693.306534,5191.770776,0,391.115985,35.661,116.4237096,1524.199839,1,31.921,0,2,0,0,0,0,0
56260,1,0,0,1,3,0,333.0624045,15087.1941,0,850.721344,32.613,57.67917334,1414.956126,0,33.636,0,2,0,0,0,0,0
61802,0,0,0,0,4,0,474.4125138,7983.366768,0,173.031347,28.272,190.1424134,512.3237538,0,20.128,0,2,0,0,0,0,0
2352875,1,1,3,3,0,0,875.3389155,6071.068401,0,240.181248,31.663,111.1822373,2999.583709,1,18.169,1,3,0,1,0,0,1
2353448,1,1,2,2,0,0,199.0788769,9125.661789,1,423.855574,28.869,59.56540817,641.0384912,0,20.094,0,3,0,1,0,0,0
2358464,0,0,2,1,0,0,530.3738473,15242.7494,0,268.56407,35.223,99.38200775,1105.096462,1,29.027,0,1,0,0,0,0,0
2364941,0,0,0,1,3,0,304.3034687,10937.12289,0,78.8814708,39.464,42.45638041,1340.343377,1,19.337,0,2,0,0,0,0,0
1122064,0,0,0,0,4,0,674.766482,7791.640058,0,460.109827,27.93,247.7577137,423.8334903,0,5.46,0,2,0,0,0,0,0
72195,1,0,0,0,3,0,2937.005952,6050.56449,0,641.543138,23.303,119.385325,1152.795004,0,10.113,0,4,0,0,1,0,1
2381974,0,0,2,0,1,0,77.9043737,14329.53119,0,475.272067,38.683,161.4151515,837.4412201,1,18.446,0,1,0,0,0,0,0
1154238,0,0,2,2,2,1,229.1053896,14769.23571,1,165.274689,38.39,46.88340279,324.9540424,1,39.632,0,0,0,0,1,0,0
1175478,0,0,0,0,1,0,402.8512499,13695.51118,0,258.243918,37.668,317.3194842,406.8934137,0,27.243,0,4,0,0,1,0,0
2413397,1,0,3,2,0,0,701.8169987,5937.199533,1,181.424681,30.229,717.3757923,2034.651714,0,22.668,1,2,0,1,0,0,0
84310,1,1,0,0,0,1,680.3585584,7791.640058,0,194.688029,33.793,178.6794738,194.3396537,1,8.033,0,1,0,0,2,0,0
332197,0,0,0,0,3,0,1165.538264,10827.98276,0,113.305424,26.801,143.7034817,863.9271059,0,11.858,0,1,0,0,0,0,0
1189304,2,0,2,1,0,0,242.0687741,17056.56889,1,288.980064,76.757,121.0053842,129.4499379,1,18.819,0,5,0,0,0,0,0
83124,0,0,0,0,2,0,605.7001683,6655.423296,0,354.20261,40.974,258.7902016,434.062428,0,24.369,0,3,0,0,0,0,1
107875,0,1,0,0,4,0,360.9512634,12755.95845,0,385.135731,22.887,205.9498148,2307.408818,0,14.846,0,3,0,0,0,0,0
2429182,0,0,0,0,4,0,250.7932178,11359.77054,0,234.420269,43.505,232.1767574,2025.3343,0,21.817,0,3,0,0,0,0,0
2451792,1,0,2,0,0,0,282.6750627,5595.56424,0,467.298751,27.764,155.6159944,5743.890065,1,7.351,0,1,0,0,0,0,1
2457442,0,0,0,0,0,1,1388.543653,16497.29862,0,143.440891,34.293,131.1000059,196.5744621,0,32.249,0,0,0,0,2,0,0
2459988,1,0,3,1,3,0,2362.140003,6567.825819,0,197.264857,27.295,162.4904264,3661.155666,0,24.386,0,2,0,0,0,0,0
92781,0,1,1,1,3,1,353.594389,13354.40242,0,231.571845,27.24,256.7663175,1363.82099,1,8.261,0,2,0,0,0,0,0
2467741,0,0,0,1,3,0,450.8471199,7800.277592,0,559.449954,33.447,35.32412214,1017.555537,1,27.328,0,1,0,0,1,0,0
1245487,2,1,3,0,0,0,1071.326239,5809.764964,0,360.296427,25.08,253.9771872,685.6633574,1,26.465,0,3,0,0,1,0,0
2481630,1,0,3,0,0,0,528.0899778,21955.47306,0,293.173006,37.836,73.41456823,346.3786223,1,19.308,0,1,0,0,0,0,0
2483748,1,0,3,0,0,0,232.3667764,10384.81142,0,67.8044427,25.03,84.9839753,1165.71173,1,44.99,0,2,0,0,1,0,0
2484210,0,0,0,0,2,0,638.0946019,13259.94682,0,256.05472,31.865,29.90087094,1563.298999,0,15.596,0,1,0,0,0,0,0
2485349,2,0,0,1,0,0,1449.222242,2842.566739,0,86.5278618,23.759,289.4637889,296.7451649,0,10.721,0,3,0,1,0,1,1
2487173,1,1,3,2,1,1,1386.131273,6993.395968,1,181.58776,17.659,74.92202565,758.4951455,1,15.477,0,3,1,0,0,0,1
93362,0,0,3,2,3,1,1293.117516,6179.824377,0,384.3442,14.408,331.7550966,3662.186599,0,5.776,0,2,0,0,0,0,0
2492467,0,0,1,2,1,1,670.5044343,7657.778564,0,112.705881,53.31,70.00959278,1172.557432,1,17.433,0,3,0,0,1,0,0
2501178,1,0,2,2,2,0,290.4828335,8299.245255,0,372.355388,33.803,204.5970086,1947.262279,1,25.172,0,2,0,0,0,0,0
2521450,0,1,0,1,1,0,1076.032606,8022.5848,0,99.530545,52.395,70.7656795,207.9074757,0,20.684,0,4,0,0,1,0,0
1381231,1,0,0,1,2,0,524.6048959,20929.22768,0,6.00128543,42.017,156.7651648,902.0787648,0,13.236,0,2,0,0,1,0,1
2523683,0,0,0,0,3,0,2255.153768,3771.582545,0,401.07405,36.312,83.23598513,1279.498759,0,27.314,0,2,0,0,0,0,0
2524073,2,1,3,3,0,1,734.4110342,14560.31422,0,298.66755,31.774,79.57967538,809.7185809,1,35.666,0,3,1,1,0,0,1
1396759,2,1,3,2,0,1,1155.077379,26846.69332,1,271.636238,32.767,55.78989778,398.5925265,0,33.045,1,3,0,0,1,0,0
2524141,1,1,0,2,2,1,1562.07757,20739.86385,0,122.514255,26.551,96.88962892,416.0955648,1,36.941,0,3,0,0,0,1,0
1433690,2,0,2,2,2,0,1125.772016,3905.887803,0,363.202419,29.323,158.0419144,644.8826381,0,34.608,0,3,0,0,1,0,1
2526745,0,0,0,0,4,0,48.34173255,9125.661789,0,328.992136,41.447,65.74268291,752.5724836,0,21.296,0,1,0,0,0,0,0
2528901,1,0,2,2,0,1,1803.681172,6255.728296,0,123.499951,36.227,109.9618206,367.8055706,0,9.642,0,3,0,0,0,0,0
101733,0,0,0,0,4,0,964.7145319,4317.240322,0,239.072634,30.434,145.5381467,298.3501091,0,3.806,0,2,0,0,1,0,0
1437845,2,0,2,1,3,0,647.671338,3649.654429,0,336.654135,28.719,94.45337195,405.9187674,1,21.278,0,3,0,0,0,0,1
2536443,0,0,0,0,2,1,188.9940331,12087.15488,0,283.741793,58.94,75.91925355,69.01125218,0,33.607,0,0,0,0,0,0,0
2543882,0,0,0,0,3,0,621.3327561,10278.41835,0,569.433339,35.955,172.9578245,187.2015239,0,18.546,0,1,0,0,1,0,0
2547353,2,0,1,1,0,0,759.3044312,9541.46885,0,226.592653,36.831,131.8850936,224.3353219,0,25.101,0,5,0,0,1,0,0
1482131,0,0,2,0,0,0,274.6163855,11432.8297,0,152.781964,50.863,22.16733181,904.0490793,1,24.827,0,0,0,0,0,0,0
2552270,0,0,0,0,4,0,456.877289,8986.239604,0,540.10379,42.624,147.8080917,3266.040806,0,22.312,0,1,0,0,1,0,0
1534041,0,0,0,2,3,0,80.6906086,8044.366391,0,200.108742,28.51,98.88575826,1080.14004,1,11.991,0,0,0,0,0,0,0
